# fft time experiment data file#bits,my_fft,np_fft
7,0.005368471145629883,0.0007398128509521484
8,0.00845646858215332,1.71661376953125e-05
9,0.018395423889160156,0.000133514404296875
10,0.03118157386779785,0.00012230873107910156
11,0.07912230491638184,7.081031799316406e-05
12,0.09851193428039551,0.0002956390380859375
13,0.18205571174621582,0.00017547607421875
14,0.40813708305358887,0.0002219676971435547
